Country,Cases,Deaths,UpdateTime
Algeria,5,0,7/6/20099:00
AntiguaandBarbuda,2,0,7/6/20099:00
Argentina,2485,60,7/6/20099:00
Australia,5298,10,7/6/20099:00
Austria,19,0,7/6/20099:00
Bahamas,7,0,7/6/20099:00
Bahrain,15,0,7/6/20099:00
Bangladesh,18,0,7/6/20099:00
Barbados,12,0,7/6/20099:00
Belgium,54,0,7/6/20099:00
Bermuda,UKOT,1,0,7/6/20099:00
Bolivia,416,0,7/6/20099:00
BosniaandHezegovina,1,0,7/6/20099:00
Brazil,737,1,7/6/20099:00
BritishVirginIslands,UKOT,2,0,7/6/20099:00
BruneiDarussalam,124,0,7/6/20099:00
Bulgaria,10,0,7/6/20099:00
Cambodia,7,0,7/6/20099:00
Canada,7983,25,7/6/20099:00
CapVerde,3,0,7/6/20099:00
CaymanIslands,UKOT,14,0,7/6/20099:00
Chile,7376,14,7/6/20099:00
China,2040,0,7/6/20099:00
Colombia,118,2,7/6/20099:00
CookIsland,1,0,7/6/20099:00
CostaRica,277,3,7/6/20099:00
Coted'Ivoire,2,0,7/6/20099:00
Croatia,1,0,7/6/20099:00
Cuba,85,0,7/6/20099:00
Cyprus,109,0,7/6/20099:00
CzechRepublic,15,0,7/6/20099:00
Denmark,66,0,7/6/20099:00
Dominica,1,0,7/6/20099:00
DominicanRepublic,108,2,7/6/20099:00
Ecuador,204,0,7/6/20099:00
Egypt,78,0,7/6/20099:00
ElSalvador,319,0,7/6/20099:00
Estonia,13,0,7/6/20099:00
Ethiopia,3,0,7/6/20099:00
Fiji,2,0,7/6/20099:00
Finland,47,0,7/6/20099:00
France,310,0,7/6/20099:00
FrenchPolynesia,FOC,4,0,7/6/20099:00
Guadaloupe,FOC,2,0,7/6/20099:00
Martinique,FOC,3,0,7/6/20099:00
NewCaledonia,FOC,12,0,7/6/20099:00
SaintMartin,FOC,1,0,7/6/20099:00
Germany,505,0,7/6/20099:00
Greece,151,0,7/6/20099:00
Guatemala ,286,2,7/6/20099:00
Guyana,2,0,7/6/20099:00
Honduras,123,1,7/6/20099:00
Hungary,11,0,7/6/20099:00
Iceland,4,0,7/6/20099:00
India,129,0,7/6/20099:00
Indonesia,20,0,7/6/20099:00
Iran,IslamicRepublic,1,0,7/6/20099:00
Iraq,12,0,7/6/20099:00
Ireland,74,0,7/6/20099:00
Israel,681,0,7/6/20099:00
Italy,146,0,7/6/20099:00
Jamaica,32,0,7/6/20099:00
Japan,1790,0,7/6/20099:00
Jordan,23,0,7/6/20099:00
Kenya,15,0,7/6/20099:00
Korea,Republicof,202,0,7/6/20099:00
Kuwait,35,0,7/6/20099:00
Laos,5,0,7/6/20099:00
Latvia,1,0,7/6/20099:00
Lebanon,49,0,7/6/20099:00
Libya,1,0,7/6/20099:00
Lithuania,3,0,7/6/20099:00
Luxembourg,6,0,7/6/20099:00
Malaysia,112,0,7/6/20099:00
Malta,24,0,7/6/20099:00
Mauritius,1,0,7/6/20099:00
Mexico,10262,119,7/6/20099:00
Montenegro,10,0,7/6/20099:00
Morocco,17,0,7/6/20099:00
Myanmar,1,0,7/6/20099:00
Nepal,5,0,7/6/20099:00
Netherlands,135,0,7/6/20099:00
